Complaint #,Complaint_clean,Topic
263,  card withdrawal country fee charge country institution  fee bank month mention  service fee bank fee charge surprise exchange,Theft/Dispute reporting
264,year year advance site host plan month propose project lose move host service try bill year advance service company time need s,Bank account services
265,complaint regard action chase perform  home foreclosure sale contract bankruptcy court  agreement estate agent tn process sale ,Mortgages/loans
267,offer companion airline pass bonus point card card online email address phone number address  billing statementscorrespondence ,Others
268,check account promise dollar account deposit dollar amount deposit deal coupon guess deposit make dollar requirement bank hour ,Bank account services
270,credit limit chase freedom card time work card limit balance credit utilization credit score point day offer month credit line ,Credit card / Prepaid card
275,daughter name check account account account child power attorney check account documentation bank time bank manger locate texas,Bank account services
276, taxis check bank statement day chasebank submit paperwork checkincident day county ny police station file police report chase ,Theft/Dispute reporting
278,chase checking account  checking account account money account  mail week money check account check account online debit card m,Bank account services
283,card inquiry credit report ,Credit card / Prepaid card
284,ecommerce course hope learn way online store course guru name advertisement course claim day guarantee return requirement part ,Theft/Dispute reporting
285,complaint  response bank problem essence credit card payment chase credit card vendor transaction fund account chase nothing wo,Theft/Dispute reporting
286,jp charge  credit report chargeoff card deny loan debt jp morgan date  number  bank deny jp credit service debt report purpose ,Credit card / Prepaid card
287,chase sapphire reserve card payment month bill chase credit card website payment bank payment hour state business day payment d,Others
293,auto finance please agreement amount base mileage amount section lease policy date write customer amount account collection not,Theft/Dispute reporting
294,speak payment arrangement  call day number state today  payment arrangement right cell alot call disability  harrassment bill,Others
296,claim number complaint regard charge account payment  payment pyament  shoot  account support position payment payment change s,Others
297, phone wallet  mistake  driver phone car hour email concern activity credit card debit home computer laptop call morning use co,Theft/Dispute reporting
305,bonus coupon code account deposit deposit job coupon account brand deposit checking account,Bank account services
306, bank account  banker business specialist nmls consumer banking  name bank chase year check account name account checking accou,Bank account services
307,month  credit card charge account chase amazon end  amazon visa charge fraud case start credit account charge evidence charge e,Theft/Dispute reporting
308,pdt bank cash check account balance clerk machine branch clerk wait customer atm machine branch  print receipt debit card machi,Bank account services
310,friend amount  register account registration number xx email i scenario transaction bank email chase payment amount bank invest,Theft/Dispute reporting
316,re complaint jp home lending advisor ms manager mr refinance home loan home loan mr regard deference office base interpretation,Mortgages/loans
317,concern chase bank time day credit report fault representative system chase use regard chase system account activity payment au,Others
318,credit credit pre approve offer card credit card credit history credit card total credit limit card purchase client week gas ga,Credit card / Prepaid card
321,customer  credit card check account paycheck week year inconvenience credit card fraud department credit card dispute departmen,Theft/Dispute reporting
322,relate transaction charge account debit charge debit purchase use debit card statement transaction transaction show withdrawal ,Theft/Dispute reporting
325,inquiry credit report bank card credit bureau dispute letter ask inquiry company anyone application bank claim credit documenta,Credit card / Prepaid card
330,name  year snd victim fraud credit card bank account number company call hold credit card information credit card time credit c,Credit card / Prepaid card
332,name victim identity theft month identity theft report credit card company year bank account matter  credit card bank name list,Credit card / Prepaid card
333,chase credit card user son chase card wife user user card chase worth business month card situation bankruptcy card bankruptcy ,Mortgages/loans
334,refrigerator store credit card ability cash advance credit card store card balance chase mc interest month process fee flag bal,Credit card / Prepaid card
335, check amount sell property tx poa transaction sell file record tghe buyer possession residence bank mobility issue bank accoun,Bank account services
336,try checking account bank year account account online branch matter,Bank account services
339,truck  time purchase payment day date purchase payment day date purchase credit tell lie payment payment credit report score ba,Others
344,chase credit card browse flight  banner ad display offer statement credit bonus mile spend account prerequisite offer statement,Credit card / Prepaid card
349,purchase  chase item website apr month month card item apr online banking site card rep  promotion chase chase speak apr paymen,Theft/Dispute reporting
350,money account california total dollar month police reportsigne affidavit month day day guy bank california money money money   ,Bank account services
352,victim fraud purchase  bank money debit card account message seller order seller package police report police report picture pa,Theft/Dispute reporting
353,information use loan bank documentation institution denial responsibility form sign company harass something fraud contract sig,Mortgages/loans
357,situation chase month issue point option issue chase anything issue checking account action  credit transaction description tri,Theft/Dispute reporting
359,fee charge transaction account right payroll deposit   banking holiday labor day account day price fee transaction robbery,Theft/Dispute reporting
360,police report case card request fraud alert credit report bureau identity theft trade commission report consumer protection bur,Credit card / Prepaid card
365,bank credit dispute discrepancy credit report outcome change report information dispute correct chase notice account credit rep,Others
367, account amount money charge bank charge overdraft fee account charge let bank transaction balance balance way overdraft fee ac,Theft/Dispute reporting
369,jp conduct inquiry report increase credit card limit request inquiry consent inquiry report date ,Credit card / Prepaid card
370,checking account chase website time minute processing glitch time today time application letter chase reason date letter compla,Credit card / Prepaid card
371,date check family member fund use purchase need van need child family bank chase na tx  cash check check bank bank manager info,Bank account services
373,chase mortgage company mortgage payment chase send letter state report credit reporting agency list  alert credit report fact e,Credit card / Prepaid card
375,customer s protection atm fraud country month work slew tradnsaction police arrest atm withdrawal portion fraud atm protection ,Theft/Dispute reporting
378,complaint bank limit try withdrawal fraud alert text email account review someone business day get contact customer service que,Credit card / Prepaid card
380,credit,Credit card / Prepaid card
382,concern company application medication company say house time company fact house company home please help,Mortgages/loans
383, payment principal mortgage coupon bottom statement write amount principal account  principal interest escrow fee email  paymen,Others
384,complaint regard disupute cfpb complaint chase mishandle complaint issue credit courtesy credit require fcba consumer compliant,Credit card / Prepaid card
385,automobile accident injury work week time account bill autopay process get loan account cushion bill account jp chase customer ,Bank account services
386,contact debt phone mail office debt debt buyer authentication debt ownership office report consumer protection bureau operation,Mortgages/loans
389,name address account card chase card  year mother treatment i passport country payment country country bank repayment credit mo,Credit card / Prepaid card
391, item deliver house bank report purchase item seller s carrier report item bank bank card number matter letter state matter not,Credit card / Prepaid card
394,seller  pair sneaker day seller make excuse  account payment excuse note payment order money point hunch seller money,Others
399,wife  yr mortgage account  delinquent payment month send statement coupon payment  statement coupon mortgage payment statement ,Others
402,chase credit card affiliate email application state review day status automate response review representative call status reaso,Mortgages/loans
403,duplicate complaint filing sustain bank accuse va complaint notice retaliation discrimination filing date chase bank act retali,Bank account services
405, dispute visa charge account charge airline ticket  schedule   flight refund offer flight refund charge card law law credit bil,Theft/Dispute reporting
406,amount branch amount check account pay day charge account balance deposit  balance day access statement mail,Bank account services
407,email bank chase email fraud service ask transaction attempt transaction  california texas transaction deduct amount stadium sh,Theft/Dispute reporting
409, house loan transfer bank  paper mail house notification grid connection home therefore notice movement payment mortgage bank m,Mortgages/loans
410, complaint nothing matter fact extra payment check state address payment interest awhile payment post picture overpayment note ,Others
411,mid chase credit card offer amazon website day card hand envelope  card notice credit limit fico income base application secure,Credit card / Prepaid card
413,regard card service someone point company travel insurance point travel insurance travel purchaseinvestment issue case company ,Theft/Dispute reporting
416,promotion month chase response account offer offer account point purchase month account statement credit purchase,Bank account services
419,transaction fee transaction fee chase call work son couple day  call work regard case son user account credit card statement mo,Theft/Dispute reporting
420,month bank report day credit report claim report dispute credit reporting agency avail attorney chase letter payment question w,Others
425,credit card signature card reason credit history balance deposit credit report agency use credit report information agency info,Credit card / Prepaid card
426,bar gentleman offer beer woman bar entertainer euro service none charge fraud decline none card fraud man passport wallet phone,Theft/Dispute reporting
428,deposit bank account message inform business day place item information item pay violation reg cc order exception hold item ban,Bank account services
430,switch billing chase freedom card offer reward credit week switch  reward date today week  reason wait answer everytime help,Credit card / Prepaid card
432, ticket chase reward portal  ticket payment use reward point ticket visit  chase time voucher payment deficiency service call c,Others
434,branch checking account source account auto loan payment nonchase account chase account auto loan payment change person form in,Mortgages/loans
435,bank offer offer checking account deposit total day reach branch banking  coupon bank coupon bank account deposit meet conditio,Bank account services
438,bill time house credit credit card payment credit score  year fianc credit card bank user permission accord credit card stateme,Others
439,situation bank month account atm fund account credit complaint atm camera fund week atm fund atm fund deposit investigator erro,Bank account services
442,book flight   chase credit card account day booming airline email  flight refund dispute chase claim chase claim flight reserva,Theft/Dispute reporting
443, dispute bank charge detail  seat advertise bed hour flight  air altitude seat advertise function economy seat flight seat reco,Theft/Dispute reporting
446,complaint cfpb mortgage lender note provide day notice transaction way date sale buyer date sale letter complaint call chapter ,Mortgages/loans
448,scam year name post picture story money su slide mean post method cash background question couple time time list security bank ,Bank account services
452,chase activity card name  credit report card email address address  ct email card fund chase merchant vendor please transaction,Credit card / Prepaid card
458, mortgage loan refinance payment refinance application reporting credit report application application today mail   credit appr,Mortgages/loans
459,sba loan business chase bank   business purchase monday bank payment business base appointment day day bank account fund letter,Bank account services
467,case resolution investigation request concern name name dba credit card processing iso  employee processing dollar company  com,Credit card / Prepaid card
475,computer purchase item day  number item credit card charge item everything downhill chase someone dispute state information ret,Theft/Dispute reporting
478,chase freedom credit card time pull credit report customer service application day time pull credit report permission credit re,Credit card / Prepaid card
480,someone use replacement card chase chase fraud email message fraud number text card lock replacement mail representative card a,Theft/Dispute reporting
481,complaint i submit product checking issue manage account court power attorney mrs ms attorney sue court wire transfer chase jp ,Bank account services
483,divorce asset exwife payment time payment exwife creditor foreclosure payment line credit bank account property exwife purchase,Others
490,request phone payment payment account account joint account share husband letter chase payment account autopay day payment onli,Others
492,chase agreement shortage escrow taxis insurance statement summary payment option customer service center impair tdd monday frid,Others
497,vehicle payment balance auto title vehicle auto finance division answer payment notice mail,Others
498,week membership end  son policy paper bill mail agree time fee credit card date bill charge credit card mine visa statement con,Theft/Dispute reporting
501,chase rent check check check signer payment check chase cause thisi payment chase,Others
502,fraud investigator extension  day employee mailbox message customer service customer service hold minute transfer fraud departm,Theft/Dispute reporting
504,complaint bank chase fund alter check chase fraud party bank fraud chase claim time frame chase claim lot mail post office drop,Bank account services
505, bike chase debit card online store pickup hold card amount charge bike bike hour order hold charge purchase  bike online store,Theft/Dispute reporting
506,total business name business loan money branch show document send wire transfer banker document trust banker fund transaction c,Mortgages/loans
507,transaction bank account chase transaction reimburse account money take month cd penalty interest credit card bank chase accoun,Bank account services
508,hello  book package deal vacation package rountrip airfare hotel stay week  book package put credit card information button mes,Theft/Dispute reporting
509,bank credit card credit inquiry report proof documentation,Credit card / Prepaid card
510,bonus offer bank chase sapphire check account fund investment account bonus chase sapphire check account account bonus link you,Bank account services
511,inquiry credit score  bank chase bank  information get service apartment chase apply credit card thing year inquiry fact limit ,Credit card / Prepaid card
512,issue bank email chase ad sapphire check account chase reward bonus point lot sapphire check account link email requirement dep,Bank account services
516,issue credit card bank pre approve offer credit card membership fee card account inquiry apply card credit account inquiry cred,Credit card / Prepaid card
519,notification chase fraud department transaction time representative purchase  purchase website life  product account end  card ,Theft/Dispute reporting
520,car lease vehicle dealer car look s return customer month chase wonder car lot license plate car car day bill chase tell dollar,Mortgages/loans
521,customer bank year emergency payment company work  income home right mortgage utility bill family work month delinquent somethi,Mortgages/loans
524,time fee deposit manipulation stack scam chase deposit withdraw everyone file complaint happen plenty fund way fee deposit onli,Bank account services
527,home mortgage time homebuyer payment escrow account agreement sign faith indicate payment escrow account insurance property tax,Others
531,response complaint  executive office attempt call wife phone number occasion wife call work call message ask ms  phone number n,Mortgages/loans
533,advantage bonus checking account bank chase account chase employee firm term bank account year employee tell print today fact p,Bank account services
534,credit card merchant refund credit card credit card company record show credit card credit card number credit report,Credit card / Prepaid card
536,look pair shoe guy page  name accord   payment  number text send money  number picture number attempt  anything bank  nothing t,Others
538,day courtesy foreclosure postponement reason husband income source income chase fail husbandcontributor income documentation co,Mortgages/loans
540,bank texas claim customer year s account shape call credit card tell card number bill pay number information card come mail  pa,Credit card / Prepaid card
541,security deposit branch chase relationship time chase reason nothing right decision conversation chase day deposit bank cash ba,Bank account services
542,jp bank branch tx  minute document couple time year document assistant branch manager  validation service document consumer ban,Bank account services
544,family member contact information address phone number person call specialist pk service phone ext ,Theft/Dispute reporting
545,call trip mid   time share stay courtesy trip trouble schedule trip sale pitch resort stay hotel adult presentation week trip d,Theft/Dispute reporting
553,sir madam billing error amount chase credit card account   overcharge stay cash balance card credit stay dispute transaction de,Theft/Dispute reporting
558,refuse cash wife account account number name address,Bank account services
561,son use gas credit card  chase debit card  wallet night engine gas generator gas morning home i realize account time account co,Bank account services
562, call voicemail  call pm voicemail voicemail  pm voicemail bank,Bank account services
566,morning day hour work bank support team access line datum base datum impact bank use system system phone attempt nothing time m,Bank account services
569,inquiry account,Credit card / Prepaid card
570,credit card thru card market apr fee card purchase chase transaction fee transaction statement confront issue fee addition chas,Theft/Dispute reporting
571,company interest rate reserve rate basis point bank interest rate card mortgage credit card interest rate,Mortgages/loans
573,drivethru banking section bank il  check  insurance payout home check week deposit status payment detail method payment check n,Others
577,account balance deposit account balance account fee charge bank charge account  charge account bank policy account overdrawn fu,Bank account services
578,account bank fraud statement report  victim fraud identity year year look business bank account fraud identity bank jpchase ban,Bank account services
583,plane ticket  flight insurance case change flight cancellation day hour  insurance cancellation round trip ticket week return f,Theft/Dispute reporting
584, inquiry car loan complaint attorney office regard matter fraud credit inquiry proof document signature loan,Mortgages/loans
589,morning cell phone card indiana debit card iphone use charge  phone online account debit card series claim credit claim week cl,Theft/Dispute reporting
590,bank debit card machine bank receipt state cash try someone bank problem atm machine notice machine moment account tell chase p,Bank account services
593,home   contact  deal work house match contact telephone email couple automate marketing email prequalification letter online co,Mortgages/loans
597,invitation unitedchase credit card invitationonly offer fee year  card believe year fee email state congratulation request chas,Theft/Dispute reporting
600,loan home fall behind help  husband pass dollar month year dollar year dollar foreclosure complaint payment payment ,Others
604,jp bank group access information report name account group mass fraud scheme reason,Bank account services
607,document debt documentation chase sense account  way method verification proof require documentation  chase credit card service,Credit card / Prepaid card
608,information use information share account tx information use information share account jpmcb information use information share ,Bank account services
609,family   someone steal wallet husband charge credit card text text message state charge chase card card text notification card ,Theft/Dispute reporting
614, bluetooh headphone store plane item end flight passenger issue use flight return home item headphone sound lot issue headphone,Theft/Dispute reporting
615, charge stuff bile company chase bail cash greedy,Theft/Dispute reporting
616,office mail code case ref cfpb latter today paper check amount reference  deal issue action issue please thank ,Bank account services
619,account bank something check system time report check system place,Bank account services
627,payment chase money credit making amount situation today credit account mean credit charge charge result credit credit contact ,Others
628,estate attorney massachusetts jp provide mortgage payoff statement result harm client payoff statement payoff number bank payme,Mortgages/loans
630,charge overdraft fee top fee charge bank error week day let check clear money service charge fee bank fee top fee cat mouse gam,Theft/Dispute reporting
631,fund fee cause student loan payment account non fund fee balance account back ask fee account track point fee account spiral ac,Others
633,email hack chase credit card account transaction bank customer representative  transaction  letter date  transaction  mercahnt ,Theft/Dispute reporting
635,chase credit card account s account insane one credit account show credit report bank look risk issue bank cause documentation ,Credit card / Prepaid card
636,wife bank branch banker wife s name checking account banker wife s i d name account day email document branch branch time banke,Bank account services
637,statement process reconcile statement receipt charge purchase one credit card company process pushback transaction fraud woman ,Theft/Dispute reporting
640,instance checking account chase fail activity checking account checking account end compromise someone routing account informat,Bank account services
647,bank settlement associate supervisor pay set amount removal account result   decision amount surprise chase accuse lie blatant ,Bank account services
650, home equity line credit predecessor interest washington loan deed trust property loan substitution trustee reconveyance record,Mortgages/loans
652,morning  ticket trip ticket infant lap ticket  issue travel website avail proof phone record email  charge employee tell disput,Theft/Dispute reporting
655,difficulty bank check account chase bank branch state minnesota therefore account drive location activity account month account,Bank account services
657,chase business credit card brand airline problem  card card security number business card  service center morganchase problem u,Credit card / Prepaid card
658,account situation file credit document relation ability loan application verification jpmcb accordance credit reporting act reg,Mortgages/loans
660, charge occur page passport today newspaper picture today sale draft none signature draft signature charge country evidence,Theft/Dispute reporting
662,chase credit card reason bank account credit history report credit card report time chase credit card holder month payment hist,Credit card / Prepaid card
665,balance jpmcb card negotiate understanding impact credit report letter occasion email show time customer service letter avail c,Credit card / Prepaid card
666,hotel  interview company hotel room application employment person interview employment pay job wage reason note person state is,Theft/Dispute reporting
668,chase company attempt consumer reliefrestitution home mortgage loan chase investment time consumer reliefrestitution home mortg,Mortgages/loans
669,book reservation airport  chase marriott reward visa credit card tuesday date book merchant book date merchant refuse merchant ,Theft/Dispute reporting
670,timeline event forge check name chase account name debit card house forge check deposit attempt transaction chase check chase i,Bank account services
672,loan company access account information pretend loan money scam bank chase bank account  activity  security retirement benefit ,Bank account services
675,bed use business credit card sofa seat cushion break week maufacturer exchange return policy day copy return policy credit card,Theft/Dispute reporting
676,payment automate system payment pende rep payment process discussion amount month past amount alert chase indicate balance paym,Others
677,fund fee item detail payment insufficient fund fee check  amount screenshot chase payment pende balance attachment balance date,Others
678,loan principal today letter state overpayment fee reduction money violation loan agreement,Mortgages/loans
680,jp chase defraud credit card customer interest rate charge relate interest loan situation year percent credit card loan jp chas,Credit card / Prepaid card
683,duplicate complaint issue regard tenant reside live home time indicate remedy home tenant income tenant daughter week child mot,Mortgages/loans
686,hello assistance overdraft fee account end  bank fee fund use cell phone use phone issue fund ,Bank account services
690,credit report delinquent account jpmcb debt credit report credit report debt bill creditor debt business,Credit card / Prepaid card
691,flight take price pay carry kg passenger force check luggage size carry standard claim bin luggage flight way time investigatio,Theft/Dispute reporting
693,payment account amount transaction jail card morning charge phone call record supervisor card transaction  transaction  situati,Theft/Dispute reporting
695,time business account  account  day predatory overdraft protection account bank ach debit fund chase fee reverse chase employee,Mortgages/loans
696,chase credit card review card card  card twice costumer year bank account mortgage card notice card month complaint,Credit card / Prepaid card
698,chase amazon credit card   paper work invoice chase service  representative fee account account standing statement payment  mon,Others
699, merchant account chase merchant division merchant i number  file application application i number  speak head sale reason merc,Theft/Dispute reporting
706, escrow analysis adjustment request  attach letter request mortgage payment result decrease amountbill  homeowner insurance esc,Others
708, inquiry credit report jpmcb card bank dispute inquiry  response indicate investigation account chase account mortgage account ,Credit card / Prepaid card
709,payment mail internet bank payment person phone use word tell  fee charge  day time payment complant business bank year thraten,Others
712,hi name chase banking account card deposit everything letter chase account hotel resident hotel s housing month address hotel f,Bank account services
713,response complaint chase claim letter date payment fact payment account,Others
716,decease executor s parent fund monie chase damage conduct info,Bank account services
726,mortgage chase victim identity theft fraud confidentiality attorney mail reason someone credit credit report payoff mortgage ch,Mortgages/loans
728,ceo chase bank chase band rep phone number department information doctor hippa law rep phone number belong fraud department i t,Credit card / Prepaid card
733,mortgage provider escrow owe escrow please help monie surplus account thank,Mortgages/loans
735,bank decide account reason standing bank account reason account basis race credit card chase credit limit card balance branch l,Bank account services
737,transfer fund someone purchase computer fund account state freeze investigation account fund someone fund money acct bank branc,Bank account services
742,try amount destroy credit,Credit card / Prepaid card
744,account bank  promotion bonus account requirement total  money business day account opening balance day date deposit requiremen,Bank account services
749,email alert credit monitoring service credit account name online notice account account end ind  time chase account name inacti,Credit card / Prepaid card
752,hi credit card chase balance employer file bankruptcy unemployment midst madness today option payment interest hardship option ,Others
759,realize debt collection process court decide henson v santander consumer ownership debt collection practice charge ownership ve,Theft/Dispute reporting
